                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                 1.2459,                0.93102,                 1.7725,                      1,                0.98379,                  0.995,                0.63787,                 1.1289,                0.96855,                 1.8134,               0.001288,               0.001288,               0.001288
                     90,                 1.0206,                0.81009,                 1.6414,                0.99348,                      1,                  0.995,                0.47335,                 1.4882,                0.97846,                 2.1242,               0.001189,               0.001189,               0.001189
                     91,                   1.03,                0.85099,                  1.683,                0.99691,                      1,                  0.995,                0.46853,                 1.5866,                 1.0489,                 2.2633,                0.00109,                0.00109,                0.00109
                     92,                 1.0242,                 0.8349,                   1.69,                0.99702,                      1,                  0.995,                0.45712,                 1.4898,                 1.0264,                 2.1452,               0.000991,               0.000991,               0.000991
                     93,                 1.0019,                0.80097,                 1.7174,                0.99165,                      1,                  0.995,                0.54859,                 1.2156,                0.90979,                 1.8977,               0.000892,               0.000892,               0.000892
                     94,                0.95083,                0.78431,                  1.634,                0.99278,                      1,                  0.995,                0.51395,                 1.2723,                0.91052,                 1.9429,               0.000793,               0.000793,               0.000793
                     95,                0.95731,                0.80369,                 1.6181,                0.98862,                      1,                  0.995,                0.60447,                 1.2051,                0.87135,                 1.9007,               0.000694,               0.000694,               0.000694
                     96,                0.95486,                0.80624,                 1.6183,                0.99396,                      1,                  0.995,                0.68137,                 1.1067,                0.82906,                 1.7981,               0.000595,               0.000595,               0.000595
                     97,                0.95071,                0.82319,                 1.6138,                0.99194,                      1,                  0.995,                0.66344,                 1.1216,                0.82868,                 1.8144,               0.000496,               0.000496,               0.000496
                     98,                0.90653,                0.77452,                 1.5612,                0.99105,                      1,                  0.995,                0.67153,                 1.1215,                0.81259,                 1.8202,               0.000397,               0.000397,               0.000397
                     99,                0.93121,                0.80896,                 1.5776,                0.99092,                      1,                  0.995,                0.66934,                  1.145,                0.82009,                  1.846,               0.000298,               0.000298,               0.000298
